badger
cement
exclusion
center
centre
central
exchange
centrifuge
extractor
separator
cereal
grain
certificate
neck
cessation
sink
chabasite
husk
straw
chair
seat
chalk
crank
glass
chamois
chandelier
conversion
transition
chanterelle
crack
hat
charcoal
spell
chart
correction
movable
chew
cheque
claw
pincer
pharmacy
stripe
chicken
chicory
child
kid
chilli
chill
cool
mantle
cinchona
meat
chop
rib
chip
chipwood
chisel
chlamys
chloramphenicol
chlordiazepoxide
chloroform
trichloromethane
chloropicrin
chocolate
cocoa
platform
chopper
roughness
chuck
christmas
shawl
cider
cigarette
coriander
eyelash
girdle
clinker
styrene
five
circuit
circumference
cistern
factor
people
cladding
face
clamp
illumination
gimp
corn
pottery
clean
kill
cleavage
clipper
limiter
clip
cut
stuff
closet
closure
cloth
fabric
material
textile
coagulation
curdle
clover
trifolium
handbag
coal
fusion
filbert
coca
cocaine
cock
cocksfoot
coconut
code
generation
coffee
cola
dope
pollock
pollack
collage
collar
compendium
collet
ferrule
conjunction
junction
colour
coloured
color
column
pillar
combine
seed
semen
retort
return
edible
comforter
correspondence
comminute
pulverise
good
common
green
communication
communion
share
compact
compression
computer
embryo
accordion
condensate
prophylactic
safe
safety
conductivity
confectionery
federation
difference
relative
union
fold
connection
connector
link
effect
issue
result
preservation
preserve
retainer
pool
restraint
consumption
contaminant
torsion
contraceptive
reverse
controller
riddle
recovery
converter
conveyor
transporter
tank
copier
duplicator
copra
copy
truss
cord
corduroy
cordial
liqueur
core
cork
horn
trumpet
valance
principal
corrective
corrosion
corset
hydrocortisone
corundum
sparkle
cotter
cough
direction
offset
stub
couple
coupling
courgette
suit
couscous
coverage
report
cowberry
foxberry
nutria
snapper
greave
crane
crepe
crate
crop
crawfish
crayfish
scallop
crew
curler
roller
eyelet
loop
standard
crochet
soot
cross
hybrid
traverse
sleeper
private
hook
hindquarter
rump
crown
crush
press
crust
crustacean
elbow
cucumber
cuff
cultivation
culture
finish
polish
cultivator
slit
cure
therapeutic
curbstone
solidify
curl
lock
curtain
drape
cushion
shock
padding
hold
custom
skin
cutlass
cutlery
cutter
tender
cutting
slip
cuttle
cuttlefish
cyanide
nitrile
kyanite
melamine
internet
cycle
encyclopaedia
cytidine
kola
radish
treat
flurazepam
damper
muffler
danube
sorghum
dashboard
taro
datum
information
glasdegib
phosphorus
dust
decomposition
decoration
ornament
order
inscription
deed
title
strongbox
deep
freezer
defect
fault
define
deformation
defroster
level
point
stage
luncheon
delivery
speech
prednisone
limit
denim
indication
tooth
denture
plate
deodorant
section
depilatory
derive
dry
design
pattern
peel
destination
insulation
item
particular
sensor
mark
develop
development
octopus
heroin
talk
dial
spangle
napkin
diaphragm
diatomite
kieselguhr
diazepam
dictionary
jack
dielectric
insulator
remainder
diffuser
digger
excavator
digitalis
hydromorphone
diluent
thin
diol
glycol
sheepskin
plough
wagon
disability
disabled
disc
disk
record
discharge
rebate
dish
dishcloth
distillate
distillation
distributor
disulphide
flap
doll
dolphin
rule
keep
sinker
door
glutethimide
dolutegravir
down
raft
scad
stack
ton
wad
dragon
draft
drain
play
draw
dreg
vanity
dryer
sock
fall
dross
slag
drive
head
thread
dumper
durian
duster
duty
duvet
eiderdown
earphone
headphone
hear
earth
globe
truffle
relief
forage
grass
ebonite
image
outflow
eight
viii
eighteen
electricity
power
electron
lift
elevator
theophylline
elongation
embroidery
growth
emmentaler
tail
sphere
enamel
enclosure
end
witloof
endocarp
stone
hormone
energiser
energy
mesh
nine
entrance
entry
number
envelope
surround
ephedra
name
equal
meprobamate
equine
apalutamide
wear
error
erythromycin
escape
leak
leakage
snail
shallot
sainfoin
essential
necessary
requisite
estazolam
respect
oestrogen
heat
ethanal
acetaldehyde
ethanediol
ethchlorvynol
ethene
ethylene
eucalyptus
examination
test
example
extract
selection
excess
exclusive
scoop
illustration
scale
exhaust
exhibition
outlet
spend
index
export
expose
pike
exterior
outside
extreme
peak
eyeglass
spectacle
ocular
view
facility
installation
veneer
factory
mill
faggot
slack
turbojet
farrow
persian
fastener
fastening
fix
fatigue
tap
feather
feature
feed
food
foodstuff
feldspar
hide
fence
fencing
fender
fennel
fentanyl
ferry
fertiliser
fiber
fibre
fibreboard
fiberglas
fibril
filament
strand
violin
statuette
fillet
philippine
fill
picture
screen
flame
firearm
piece
hearth
firework
pyrotechnic
house
fish
fishery
lance
fixation
fixer
methadone
flake
flare
flash
flashlight
flashpoint
flask
silver
flavour
flavouring
seasoning
linseed
fleece
wool
spark
flight
flotation
spot
floor
plant
variation
flue
fluorspar
fluoroform
trifluoromethane
flush
flux
foam
focus
foliage
leaf
vehicle
fonio
digitaria
step
footwear
foot
term
locker
pedestal
force
front
precursor
forge
fork
format
taiwan
formula
formulation
preparation
foundation
foundry
fountain
spring
four
quaternary
groat
square
quarter
poultry
fragment
masonry
glow
lattice
friction
fryer
friuli
dress
ice
fructose
fruit
smoke
functioning
operation
performance
store
furan
furfuraldehyde
furnishing
fuse
hair
gauge
gaiter
gallery
galvanisation
ring
gantry
garter
slice
gasoline
petrol
gather
gauze
net
gearing
train
shifter
gelatin
geneva
knee
germ
germination
sprout
motion
outfit
touch
trace
gigabyte
gild
waistcoat
afatinib
ginger
snap
gizzard
gland
spotlight
greenhouse
glassware
glider
glove
mitt
glucose
glue
mucilage
glycerol
imidazole
knot
goji
sludge
soap
panel
gotukola
centella
regulator
gown
grade
graft
gram
killer
grape
graphite
hopper
grate
reticle
gravel
hydrometer
gravity
grey
overcoat
topcoat
greenland
turf
greeting
grenadier
grid
grill
market
groove
gross
receipt
revenue
guide
okra
powder
gutter
trough
gypsum
revolution
rotation
writing
triazolam
halibut
hammer
purse
washbasin
shake
pistol
handkerchief
hand
repair
hare
rabbit
harp
harmonium
organ
harvester
pouffe
puff
opening
meadow
hazelnut
hydrochlorofluorocarbon
headgear
heart
pump
heating
heater
warm
proof
hectograph
hectolitre
hedge
sunflower
spiral
portion
megrim
heparin
seven
herbicide
inheritance
heterocyclic
high
heel
stiletto
walk
theatrical
milometer
odometer
all
hollow
manuscript
holy
make
human
hoop
hoopwood
ash
hose
pantyhose
hospital
sign
wrapper
howitzer
mortar
oyster
humidity
lump
hyacinth
snake
mercury
hydroxybenzene
phenol
refrigerator
igniter
range
imipramine
ibrutinib
resistance
resistivity
pressure
progressive
impulse
pulse
impurity
incontinence
indicator
individual
person
inductance
induction
inductor
infant
baby
space
inflator
refrigeration
inhalation
initial
injection
wound
insole
purity
letter
insert
insertion
instalment
interest
stake
product
iodine
tablet
irregular
isinglass
mica
ivory
tusk
japan
joke
jasmin
wind
jersey
pullover
jumper
jewellery
swing
trouser
join
journal
diary
stick
juice
occasion
juniper
kaolin
living
support
token
kernel
kerosene
kilogram
kiwifruit
knit
knitting
knock
kraftliner
corrugate
label
lace
tear
water
ladder
parchment
lamp
same
wattle
lasagne
thong
parallel
latium
lazio
laundry
wet
three
lead
led
ledge
shelf
lychee
leek
scallion
legging
lemnos
lemon
lens
lense
mastic
tight
levelling
permit
liquorice
lidocaine
liner
linoleum
liquid
list
sand
litre
liter
liver
kidney
offal
loin
pubis
loofah
pruner
loss
loudspeaker
speaker
low
lube
lubricant
lubricator
lucerne
alfalfa
match
lumber
timber
phenobarbital
lupine
lutetium
lyophilisation
macadam
macrouridae
magazine
periodical
magnesia
magnetisation
magnetization
sheet
maize
maker
manufacturer
yautia
malt
nipple
teat
mammal
mammalian
methenamine
manila
mannitol
cloak
mantilla
marzipan
margarine
oleo
xylophone
marine
morocco
marquetry
marriage
marshmallow
mask
muscat
mass
massicot
maté
mattress
matzo
sledge
mbit
meal
mean
substance
megabyte
medicament
medicine
thioridazine
melt
member
memorandum
memory
storage
mention
reference
ware
white
table
network
methanal
formaldehyde
methaqualone
methylbenzene
toluene
methylphenidate
metre
meter
tube
underground
salmon
micrometer
micron
microphone
microprocessor
midazolam
middle
thick
mold
mould
transaction
missile
projectile
mixer
mode
model
mollusc
mongolian
monitor
mono
unicycle
morphine
mortice
mosaic
motif
movement
motorboat
moulding
moulder
müsli
silencer
mule
potato
muscatel
muscle
pulp
muskrat
myrtle
blueberry
puzzle
release
naphazoline
serviette
necklace
pentobarbital
nepheline
nerve
vein
newspaper
newsprint
nicotine
nightdress
ixazomib
norway
north
nozzle
notch
pass
notebook
nylon
rayon
reflection
odour
work
offer
office
separate
young
tanker
oleostearin
clobazam
open
orache
satellite
regulation
orthopaedic
phosphate
vibration
oscilloscope
overhead
sheathe
sheep
lamb
oxazepam
oxidation
ozokerite
pacemaker
package
packaging
packing
pigment
painting
pyjama
pfalz
pale
picket
pallet
palm
tract
syrinx
pantie
panty
papaya
paperboard
document
pimento
para
parakeet
sponge
paring
shaving
sliver
parlour
trim
passion
paste
sticker
pastille
paving
rate
peanut
groundnut
pedal
prednisolone
pellet
pinion
whistle
pentaerythritol
pentazocine
protease
pusher
percent
percentage
perfect
perfume
essence
permanent
substitution
switch
lipase
pest
stamp
petticoat
pharmaceutical
throat
phenolic
phenothiazine
phentolamine
voice
phone
telephone
smartphone
piano
place
pick
piedmont
piemonte
sardine
piling
tweezer
pipe
piping
piston
plunger
pitchblende
position
plasma
plasticiser
plasticizer
toast
pleuronectidae
flounder
bothidae
citharidae
plier
stopper
plywood
pocket
pouch
polarimeter
pole
terminal
polyethylene
polythene
polymerisation
polymerization
polypropylene
polytetrafluoroethylene
polyurethane
pomelo
public
pork
pore
oat
port
postage
potential
voltage
practice
prawn
shrimp
principle
sensitivity
trailer
prey
primate
process
production
profile
progestogen
prom
property
propanal
propane
lpg
propellant
propellent
propeller
propene
propylene
proprietary
psittaciforme
pull
wrench
punch
purification
refine
thrust
queen
rest
niaouli
raceway
ratchet
racket
radar
radiation
radio
wireless
tuner
radiography
radius
raffia
railway
raincoat
waterproof
ramie
rape
colza
rapeseed
tuck
resonance
rasp
rattan
reading
reception
redfish
reducer
reduce
reduction
reinforcement
source
refill
refuse
register
registry
split
reproduction
reservoir
resin
rosin
temazepam
survey
retardant
rhizome
ribbon
rich
tackle
right
rivet
stud
road
rock
room
root
solution
tramway
roundness
scrap
rush
rusk
rust
swede
saccharin
sucrose
saddle
saddlery
safflower
carthamus
sago
saida
salep
salmonidae
sander
smooth
sapodilla
sars
cov
sauerkraut
sausage
savoury
scaffolding
scape
shotgun
scattering
system
school
text
scooter
telescope
scophthalmidae
turbot
scrape
sieve
screening
show
walrus
sealant
seaweed
secretion
secobarbital
zealand
selvedge
transmitter
servo
sesamum
sesame
sewage
sewing
sunglass
shallow
snakehead
sherry
jerez
shift
transformation
shingle
way
shoe
skid
shop
shore
shovel
shrink
shrivel
sumach
thailand
sicilia
signal
signalling
sinew
tendon
singing
single
vest
syrup
size
skim
sweep
slat
spline
slate
slide
sling
smart
trainer
snow
snowplough
soak
steatite
soda
soil
soya
soleidae
sole
solid
somatotropin
sort
southwest
spanner
sputter
specification
spectrograph
sperm
spermicide
spider
spiegeleisen
spindle
volute
tongue
spoon
stabiliser
stabilizer
stave
staircase
stem
stationary
stationery
stearin
stencil
regorafenib
stowage
stove
oven
straight
stress
wale
tension
string
twine
stroboscope
throw
subheade
subject
substrate
sulfonamide
sulfate
sulphate
sulfide
sulphide
sulphur
sunscreen
suppressor
surfactant
suture
wrap
sweeten
swimwear
swine
pig
swivel
synthesiser
tachometer
tacheometer
tachymeter
talc
tamarind
tamp
tamper
wick
tarpaulin
tassel
tazemetostat
teak
television
video
telecommunication
wire
telegraphy
tenderloin
terry
will
tetrachloroethylene
theatre
theodolite
thermoregulator
thermostat
xiii
thresher
yarn
wood
tyre
cynoglossidae
tonquin
coumarin
torque
toscana
tuscany
total
tower
towel
towelling
transmission
transmittance
transparency
travel
traveller
trial
trichloroethane
trichloroethylene
tricycle
truck
lorry
shirt
tubing
tuft
tulipwood
tuna
tungsten
wolfram
tunnelling
turmeric
curcuma
turpentine
turtle
turtleneck
type
wave
upright
vaccine
vacuum
valley
vane
vapor
vapour
veal
vegetable
venetoclax
veneto
vermouth
vessel
vetiver
wine
virgin
visor
yolk
vodka
watch
wristwatch
waterway
weight
whisky
whiskey
vannamei
wild
winch
window
windscreen
windshield
woman
woollen
working
gilteritinib
xylene
xylol
yogurt
niraparib
